trial_id,seed,tool_kind,policy,failure_phase,failure_injected,initial_state,expected_final_state,final_state,side_effect_count,duplicate_side_effects,exact_final_state_correct,successful_completion,retries,status_reads,calls,cost
51,5446332115853614978,read_only,idempotency_key_retry,after_commit,True,0,0,0,0,0,True,True,1,0,2,2
52,5446332115853614978,idempotent_mutation,no_retry,after_commit,True,0,1,1,1,0,True,False,0,0,1,1
53,5446332115853614978,idempotent_mutation,blind_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
54,5446332115853614978,idempotent_mutation,status_before_retry,after_commit,True,0,1,1,1,0,True,True,0,1,2,3
55,5446332115853614978,idempotent_mutation,idempotency_key_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
56,5446332115853614978,non_idempotent_mutation,no_retry,after_commit,True,0,1,1,1,0,True,False,0,0,1,1
57,5446332115853614978,non_idempotent_mutation,blind_retry,after_commit,True,0,1,2,2,1,False,True,1,0,2,2
58,5446332115853614978,non_idempotent_mutation,status_before_retry,after_commit,True,0,1,1,1,0,True,True,0,1,2,3
59,5446332115853614978,non_idempotent_mutation,idempotency_key_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
60,864186096263678574,read_only,no_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
61,864186096263678574,read_only,blind_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
62,864186096263678574,read_only,status_before_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
63,864186096263678574,read_only,idempotency_key_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
64,864186096263678574,idempotent_mutation,no_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
65,864186096263678574,idempotent_mutation,blind_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
66,864186096263678574,idempotent_mutation,status_before_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
67,864186096263678574,idempotent_mutation,idempotency_key_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
68,864186096263678574,non_idempotent_mutation,no_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
69,864186096263678574,non_idempotent_mutation,blind_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
70,864186096263678574,non_idempotent_mutation,status_before_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
71,864186096263678574,non_idempotent_mutation,idempotency_key_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
72,2145917995920697483,read_only,no_retry,before_commit,True,0,0,0,0,0,True,False,0,0,1,1
73,2145917995920697483,read_only,blind_retry,before_commit,True,0,0,0,0,0,True,True,1,0,2,2
74,2145917995920697483,read_only,status_before_retry,before_commit,True,0,0,0,0,0,True,True,0,1,2,3
75,2145917995920697483,read_only,idempotency_key_retry,before_commit,True,0,0,0,0,0,True,True,1,0,2,2
76,2145917995920697483,idempotent_mutation,no_retry,before_commit,True,0,1,0,0,0,False,False,0,0,1,1
77,2145917995920697483,idempotent_mutation,blind_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
